Age,_1st,_5th,_10th,_25th,_50th,_75th,_90th,_95th,_99th
64,"46.72 (46.35, 47.09)","53.23 (53.00, 53.45)","56.48 (56.29, 56.66)","61.89 (61.72, 62.06)","68.72 (68.53, 68.91)","76.89 (76.65, 77.12)","85.20 (84.88, 85.52)","90.66 (90.26, 91.07)","102.18 (101.48, 102.88)"
66,"46.63 (46.28, 46.99)","53.12 (52.90, 53.33)","56.35 (56.18, 56.53)","61.75 (61.58, 61.92)","68.56 (68.37, 68.75)","76.70 (76.46, 76.93)","84.98 (84.66, 85.31)","90.43 (90.02, 90.83)","101.90 (101.20, 102.61)"
68,"46.52 (46.17, 46.87)","52.98 (52.78, 53.19)","56.21 (56.04, 56.38)","61.60 (61.43, 61.76)","68.39 (68.20, 68.58)","76.50 (76.26, 76.74)","84.77 (84.44, 85.09)","90.19 (89.78, 90.61)","101.64 (100.93, 102.35)"
70,"46.38 (46.03, 46.73)","52.83 (52.63, 53.04)","56.06 (55.89, 56.22)","61.43 (61.27, 61.59)","68.21 (68.02, 68.40)","76.31 (76.07, 76.56)","84.56 (84.23, 84.90)","89.98 (89.56, 90.40)","101.41 (100.69, 102.13)"
72,"46.21 (45.85, 46.57)","52.66 (52.45, 52.87)","55.89 (55.71, 56.06)","61.26 (61.09, 61.42)","68.03 (67.85, 68.22)","76.13 (75.89, 76.38)","84.38 (84.04, 84.72)","89.80 (89.37, 90.23)","101.23 (100.50, 101.95)"
74,"46.02 (45.65, 46.38)","52.48 (52.25, 52.70)","55.70 (55.52, 55.88)","61.08 (60.92, 61.25)","67.87 (67.68, 68.06)","75.98 (75.73, 76.23)","84.24 (83.89, 84.58)","89.66 (89.23, 90.10)","101.10 (100.37, 101.84)"
76,"45.79 (45.40, 46.18)","52.28 (52.04, 52.51)","55.51 (55.32, 55.71)","60.91 (60.74, 61.08)","67.72 (67.53, 67.91)","75.86 (75.61, 76.11)","84.14 (83.79, 84.50)","89.59 (89.14, 90.03)","101.07 (100.32, 101.81)"
78,"45.54 (45.13, 45.96)","52.06 (51.80, 52.32)","55.32 (55.11, 55.53)","60.75 (60.57, 60.92)","67.60 (67.41, 67.78)","75.78 (75.53, 76.03)","84.11 (83.76, 84.47)","89.59 (89.14, 90.04)","101.13 (100.38, 101.88)"
80,"45.27 (44.83, 45.71)","51.84 (51.56, 52.13)","55.13 (54.89, 55.36)","60.60 (60.41, 60.79)","67.51 (67.32, 67.69)","75.76 (75.51, 76.00)","84.16 (83.81, 84.51)","89.68 (89.24, 90.13)","101.32 (100.57, 102.08)"
82,"44.96 (44.49, 45.44)","51.61 (51.30, 51.93)","54.94 (54.68, 55.19)","60.47 (60.27, 60.67)","67.46 (67.27, 67.65)","75.81 (75.56, 76.05)","84.31 (83.96, 84.66)","89.89 (89.45, 90.33)","101.67 (100.92, 102.41)"
84,"44.63 (44.12, 45.14)","51.38 (51.03, 51.73)","54.75 (54.47, 55.04)","60.37 (60.15, 60.59)","67.46 (67.27, 67.66)","75.94 (75.69, 76.18)","84.57 (84.22, 84.91)","90.23 (89.79, 90.67)","102.19 (101.45, 102.92)"
86,"44.27 (43.72, 44.81)","51.14 (50.76, 51.53)","54.58 (54.26, 54.90)","60.31 (60.06, 60.55)","67.53 (67.31, 67.75)","76.17 (75.91, 76.43)","84.96 (84.60, 85.32)","90.73 (90.29, 91.18)","102.91 (102.18, 103.65)"
88,"43.87 (43.27, 44.46)","50.90 (50.47, 51.34)","54.42 (54.06, 54.79)","60.28 (59.99, 60.57)","67.67 (67.42, 67.93)","76.51 (76.21, 76.81)","85.51 (85.11, 85.90)","91.42 (90.93, 91.90)","103.88 (103.12, 104.64)"
90,"43.43 (42.76, 44.10)","50.66 (50.17, 51.16)","54.28 (53.86, 54.70)","60.30 (59.96, 60.64)","67.90 (67.59, 68.22)","76.99 (76.61, 77.36)","86.24 (85.75, 86.73)","92.32 (91.73, 92.90)","105.13 (104.27, 105.99)"
