Age,_1st,_5th,_10th,_25th,_50th,_75th,_90th,_95th,_99th
64,"49.91 (49.48, 50.35)","57.02 (56.70, 57.33)","60.57 (60.28, 60.86)","66.43 (66.17, 66.69)","73.45 (73.21, 73.68)","81.51 (81.27, 81.75)","89.55 (89.24, 89.86)","94.75 (94.36, 95.14)","105.53 (104.85, 106.22)"
66,"49.49 (49.06, 49.91)","56.54 (56.24, 56.84)","60.07 (59.80, 60.34)","65.88 (65.64, 66.13)","72.85 (72.63, 73.07)","80.86 (80.63, 81.09)","88.84 (88.54, 89.14)","94.00 (93.62, 94.39)","104.71 (104.02, 105.39)"
68,"49.01 (48.59, 49.42)","56.01 (55.73, 56.29)","59.52 (59.27, 59.77)","65.30 (65.07, 65.52)","72.22 (72.02, 72.42)","80.18 (79.96, 80.39)","88.10 (87.81, 88.40)","93.24 (92.85, 93.62)","103.87 (103.19, 104.55)"
70,"48.48 (48.07, 48.89)","55.45 (55.18, 55.72)","58.94 (58.70, 59.17)","64.68 (64.48, 64.89)","71.57 (71.38, 71.75)","79.48 (79.27, 79.69)","87.37 (87.07, 87.66)","92.47 (92.09, 92.85)","103.04 (102.37, 103.72)"
72,"47.92 (47.51, 48.34)","54.86 (54.59, 55.13)","58.33 (58.10, 58.56)","64.05 (63.85, 64.25)","70.91 (70.73, 71.09)","78.79 (78.58, 79.00)","86.64 (86.34, 86.94)","91.72 (91.34, 92.10)","102.25 (101.57, 102.93)"
74,"47.34 (46.92, 47.76)","54.26 (53.99, 54.53)","57.72 (57.49, 57.96)","63.43 (63.22, 63.63)","70.26 (70.07, 70.46)","78.12 (77.90, 78.34)","85.95 (85.64, 86.26)","91.01 (90.62, 91.41)","101.51 (100.84, 102.19)"
76,"46.75 (46.31, 47.19)","53.66 (53.37, 53.95)","57.12 (56.87, 57.37)","62.82 (62.59, 63.04)","69.64 (69.43, 69.86)","77.49 (77.25, 77.74)","85.31 (84.99, 85.64)","90.37 (89.97, 90.78)","100.86 (100.18, 101.54)"
78,"46.16 (45.71, 46.62)","53.08 (52.77, 53.38)","56.54 (56.27, 56.81)","62.24 (61.99, 62.49)","69.08 (68.83, 69.32)","76.93 (76.66, 77.20)","84.76 (84.41, 85.10)","89.82 (89.40, 90.24)","100.32 ( 99.63, 101.00)"
80,"45.59 (45.12, 46.07)","52.53 (52.20, 52.85)","56.00 (55.71, 56.29)","61.72 (61.45, 61.99)","68.57 (68.30, 68.85)","76.45 (76.15, 76.76)","84.30 (83.93, 84.67)","89.38 (88.94, 89.82)"," 99.91 ( 99.22, 100.60)"
82,"45.06 (44.56, 45.55)","52.03 (51.69, 52.37)","55.52 (55.21, 55.83)","61.27 (60.98, 61.57)","68.16 (67.87, 68.46)","76.09 (75.75, 76.42)","83.98 (83.57, 84.38)","89.08 (88.61, 89.55)"," 99.67 ( 98.95, 100.39)"
84,"44.57 (44.05, 45.09)","51.60 (51.24, 51.97)","55.12 (54.80, 55.45)","60.92 (60.61, 61.23)","67.87 (67.55, 68.19)","75.85 (75.49, 76.22)","83.81 (83.36, 84.26)","88.96 (88.44, 89.48)"," 99.63 ( 98.86, 100.40)"
86,"44.16 (43.59, 44.72)","51.27 (50.87, 51.66)","54.83 (54.48, 55.17)","60.69 (60.36, 61.01)","67.71 (67.36, 68.06)","75.79 (75.37, 76.20)","83.83 (83.30, 84.35)","89.03 (88.42, 89.65)"," 99.83 ( 98.94, 100.71)"
88,"43.83 (43.18, 44.47)","51.04 (50.59, 51.49)","54.65 (54.25, 55.04)","60.59 (60.23, 60.95)","67.72 (67.32, 68.11)","75.91 (75.40, 76.41)","84.06 (83.42, 84.71)","89.35 (88.58, 90.11)","100.29 ( 99.22, 101.36)"
90,"43.60 (42.81, 44.39)","50.94 (50.37, 51.50)","54.61 (54.12, 55.10)","60.66 (60.22, 61.10)","67.91 (67.43, 68.40)","76.25 (75.61, 76.88)","84.55 (83.72, 85.39)","89.92 (88.94, 90.91)","101.06 ( 99.70, 102.43)"
